"STATE","YEAR","CAPLIABILITY","CAPACCESS","CAPUSES","CAPUNLOADED","CAP18","CAP16","CAP14","state_year","State","State.Code","Year","Year.Code","UCD...Injury.Mechanism...All.Other.Leading.Causes","UCD...Injury.Mechanism...All.Other.Leading.Causes.Code","Deaths","Population","Crude.Rate","Median_Age","White_Pop","Bachelors_Degree","Median_Income","Median_Rent","CAP_Law_Present"
"Michigan      ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Michigan","Michigan",26,2000,2000,"Firearm","GRINJ-006",76,2110718,"3.6",35.5,7966053,878680,44533,546,"(0) Law provision is not present"
"Minnesota     ",2000,"(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","2000_Minnesota","Minnesota",27,2000,2000,"Firearm","GRINJ-006",49,1071840,"4.6",35.4,4400282,605210,47033,566,"(1) Law provision is present"
"Mississippi   ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Mississippi","Mississippi",28,2000,2000,"Firearm","GRINJ-006",44,664877,"6.6",33.8,1746099,194325,31232,439,"(0) Law provision is not present"
"Missouri      ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Missouri","Missouri",29,2000,2000,"Firearm","GRINJ-006",61,1194874,"5.1",36.1,4748083,507892,37828,484,"(0) Law provision is not present"
"Montana       ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Montana","Montana",30,2000,2000,"Firearm","GRINJ-006",20,198987,"10.1",37.5,817229,100758,33014,447,"(0) Law provision is not present"
"Nebraska      ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Nebraska","Nebraska",31,2000,2000,"Firearm","GRINJ-006",22,384174,"5.7",35.3,1533261,179181,39179,491,"(0) Law provision is not present"
"Nevada        ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Nevada","Nevada",32,2000,2000,"Firearm","GRINJ-006",30,396368,"7.6",35,1501886,158078,44316,699,"(0) Law provision is not present"
"New Jersey    ",2000,"(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","2000_NewJersey","New Jersey",34,2000,2000,"Firearm","GRINJ-006",16,1595872,"Unreliable",36.7,6104705,1063665,54820,751,"(1) Law provision is present"
"New Mexico    ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_NewMexico","New Mexico",35,2000,2000,"Firearm","GRINJ-006",36,414351,"8.7",34.6,1214253,154372,33974,503,"(0) Law provision is not present"
"New York      ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_NewYork","New York",36,2000,2000,"Firearm","GRINJ-006",71,3864286,"1.8",35.9,12893689,1954242,43070,672,"(0) Law provision is not present"
